name,type,lat,lon
One Galle Face Branch,branch,6.9272598,79.8428887
Rotunda Towers,branch,6.9159,79.848261
WTC Branch,branch,6.932861,79.844163
Mobitel Flagship Store,branch,6.914636,79.856889
Airport Branch,branch,7.176944,79.890278
Xstation,dealer_online,6.899969,79.855619
SLT Mulathiv,touch_point,8.83249145,80.76536357
SLT Mathale,touch_point,7.4666844,80.6227683
SLT Mannar,touch_point,8.978328,79.91011
SLT Kegalle,touch_point,7.249509,80.344047
SLT Galle,touch_point,6.0354158,80.2175814
SLT Chilaw,touch_point,7.5817476,79.7961232
SLT Bandarawela,touch_point,6.8259,80.9982
SLT Badulla,touch_point,6.9934,81.055
SLT Ampara,touch_point,7.3018,81.6747
Singer Mega Kalutara,touch_point,6.5835,79.9613
Singer Mega Maharagama,touch_point,6.8452,79.9358
Singer Mega Thalawathugoda,touch_point,6.8736,79.9378
Singer Mega Panadura,touch_point,6.7059999999999995,79.9092
Singer Mega Malabe,touch_point,6.9061,79.9696
Singer Mega Rajajgiriya,touch_point,6.9036,79.9216
Liberty Plaza Branch ,dealer_online,6.9113,79.8515
M Ticketing Centre - Jaffna,dealer_online,9.6615,80.0255
Batticaloa Branch,branch,7.731,81.6747
Aiken,dealer_online,6.87007,79.88713
CELL Way The Phone Shop (Pvt) Ltd,dealer_offline,6.048141,80.735366
HMC Holdings (Pvt) Ltd,dealer_online,6.276908,81.28885
SLT Gampola,touch_point,7.161846,80.56631
SLT Ambalangoda,touch_point,6.234739,80.054417
DCOM (Pvt) Ltd,dealer_online,6.033064,80.216225
SUP (Pvt) Ltd,dealer_offline,6.260655,80.49202
MSTL(Pvt) Ltd,dealer_online,6.027587,80.794616
Hewage Super Market,dealer_offline,7.323417,80.621714
Welkin (Pvt) Ltd,dealer_online,5.972361,80.363453
Hello Tel International (Pvt) Ltd,dealer_offline,7.253451,80.347747
IDMS (Pvt) Ltd,dealer_online,5.949042,80.544281
Singer Mega Gampaha,touch_point,7.091366,79.996235
Singer Mega Kandy,touch_point,7.289463,80.629757
D Net Technologies (Pvt)Ltd,dealer_online,6.80149,79.9218
SLT Nittambuwa,touch_point,7.131143,80.105803
Mobitel @ Department of Pension,touch_point,6.932576,79.867175
Galle Mobile,dealer_offline,6.067212,80.224196
IDMS Network (Pvt) Ltd,dealer_offline,6.992755650157478,79.89467197208286
SANDAKADA TELECOM SERVICES (PVT) LTD,dealer_offline,7.207598,79.840752
Mobilix Lanka (Pvt) Ltd,dealer_offline,6.8851894,81.3458783
SLT Polonnaruwa,touch_point,7.94078,81.00429
Laksiri Agencies Pvt Ltd,dealer_online,6.935206,79.984431
Designcom Pvt Ltd,dealer_online,6.873464,79.874814
SLT Kilinochchi,touch_point,9.362759,80.408323
SLT Panadura,touch_point,6.7149101,79.9073193
Cosmos (Pvt) Ltd,dealer_online,6.878006,79.988967
Singer Mega Duplication Road,touch_point,6.886068,79.859957
Aba Telecom (Pvt.) Ltd,dealer_online,6.9014,79.852955
CSSB Digital (Pvt.) Ltd,dealer_online,6.936882,79.981719
Abans - Alawwa,touch_point,7.293884,80.239785
Abans - Akuressa,touch_point,6.100487,80.477729
Abans - Akkarapattu - 01,touch_point,7.223522,81.850536
Abans - Ahangama,touch_point,5.973097,80.361962
Airport Arrival Lounge,branch,7.174348,79.888018
Airport Departure Lounge,branch,7.180112,79.884351
M Ticketing Centre - Fort,dealer_online,6.933489,79.850493
Rathnapura Branch,branch,6.680147,80.407149
Kurunegala Branch,branch,7.481123,80.360339
Mobitel Branch WTC,branch,6.932861,79.844163
Matara Branch ,branch,5.94365,80.549876
Jaffna Branch,branch,9.665689,80.00924
Anuradhapura Branch,branch,8.331966,80.41028
Kandy Flagship Store,branch,7.292647,80.636715
Mobitel Flagship Centre,branch,6.914737,79.857119
