sei_decile,samurdhi_count,samurdhi_dist_mean,supermarket_count,supermarket_dist_mean,mobile_money_count,mobile_money_dist_mean,potential_count,potential_dist_mean
1,462.0,8326.205520443413,262.0,9711.958117394803,693.0,5054.537595021761,959.0,4234.127721842568
2,566.0,4966.621606762947,334.0,6761.3569217137765,862.0,4072.2733011821024,1195.0,3387.6182491043787
3,656.0,4336.6879805462295,372.0,5724.440804315296,944.0,3504.778912656627,1328.0,2715.977814789398
4,692.0,3578.431341071396,415.0,4989.534641365439,1040.0,2841.4136263473397,1458.0,2279.1870281363836
5,696.0,3307.6506079390692,444.0,4115.680413154209,1031.0,2445.7003285624482,1491.0,1907.2604555426049
6,644.0,2723.997143854485,475.0,3177.5462434419246,1030.0,1953.1155034762457,1502.0,1575.1852781234534
7,606.0,2307.120306596834,523.0,2257.361834668773,1037.0,1545.1562779681014,1547.0,1257.0249054909884
8,448.0,2048.1659733805427,530.0,1599.8441170092508,937.0,1146.357991075141,1448.0,932.4532207980005
9,305.0,1700.8136722168265,530.0,975.9131894523122,940.0,814.1645738251862,1532.0,669.6273519692901
10,131.0,1661.0558222202076,471.0,556.0286109530991,850.0,476.1906269653444,1523.0,397.7619260598103
All,932.0,3496.1049194575894,966.0,3987.677343246939,2624.0,2385.7593346015888,4745.0,1935.9983637524156
